street,waste_category,mean_mass,mean_amount
Witikonerstrasse(Pfaffhausen),cigarettes,274.0459312487862,477.4956302194601
Witikonerstrasse(Pfaffhausen),glass,0,0
Witikonerstrasse(Pfaffhausen),metal,542.629636822684,43.3215187415032
Witikonerstrasse(Pfaffhausen),organic,0,0
Witikonerstrasse(Pfaffhausen),paper,420.94338706544954,111.5143717226646
Witikonerstrasse(Pfaffhausen),plastic,354.4134783453098,68.75121382792776
Witikonerstrasse(Pfaffhausen),textile,946.0332103321033,12.114002718974557
Witikonstrasse(Binz),cigarettes,41.02564102564102,123.71794871794872
Witikonstrasse(Binz),glass,433.33333333333337,2.5641025641025643
Witikonstrasse(Binz),metal,310.2564102564103,63.46153846153846
Witikonstrasse(Binz),organic,0,0
Witikonstrasse(Binz),paper,289.1025641025641,97.43589743589743
Witikonstrasse(Binz),plastic,332.6923076923077,82.6923076923077
Witikonstrasse(Binz),textile,141.02564102564102,3.205128205128205
Zürichstrasse,cigarettes,140.95349095349096,157.76445776445775
Zürichstrasse,glass,0,0
Zürichstrasse,metal,436.5856365856366,89.07758907758907
Zürichstrasse,organic,641.025641025641,6.4102564102564115
Zürichstrasse,paper,869.8523698523699,236.42468642468646
Zürichstrasse,plastic,350.8269508269508,70.72372072372073
Zürichstrasse,textile,0,0
